"","CHR_PCODE","CHR_SYS_SAMPLE_CDE","CHR_SAMPLE_DEL_GRP","CHR_SAMPLE_DEL_GRP_EQUIS","CHR_LAB_ANAL_METHOD_NAME","CHR_ANALYSIS_DATE","CHR_TEST_TYPE","CHR_LAB_MATRIX_CDE","CHR_DILUTION_FACTOR","CHR_PREP_METHOD","CHR_PREP_DATE","CHR_LAB_NAME_CDE","CHR_QC_LEVEL","CHR_LAB_SAMPLE_ID","CHR_SUBSAMPLE_AMT","CHR_SUBSAMPLE_AMT_UNIT","CHR_FINAL_VOLUME","CHR_FINAL_VOLUME_UNIT","CHR_CAS_RN","CHR_RESULT_VALUE","CHR_RESULT_TYPE_CDE","CHR_REPORTABLE_RESULT","CHR_DETECT_FLAG","CHR_QLFR_SRC","CHR_LAB_QUAL","CHR_VALIDATED_YN","CHR_VALIDATION_DATE","CHR_VALIDATOR_QUAL","CHR_VALIDATOR_QUAL_EXPLN","CHR_METHOD_DETECT_LIMIT","CHR_REPORTING_DETECT_LIMIT","CHR_QUANTITATION_LIMIT","CHR_DETECTION_LIMIT_UNIT","CHR_LAB_VALIDATION_LEVEL","CHR_RESULT_COMMENT","CHR_QC_ORIG_CONC","CHR_QC_SPIKE_ADDED","CHR_QC_SPIKE_MEASURED","CHR_QC_SPIKE_RECOVERY","CHR_QC_DUP_ORIG_CONC","CHR_QC_DUP_SPIKE_ADDED","CHR_QC_DUP_SPIKE_MEASURED","CHR_QC_DUP_SPIKE_RECOVERY","CHR_QC_RPD","CHR_QC_SPIKE_LCL","CHR_QC_SPIKE_UCL","CHR_QC_RPD_CL","CHR_QC_SPIKE_STATUS","CHR_QC_DUP_SPIKE_STATUS","CHR_QC_RPD_STATUS","CHS_EVENT_SMAS_HISTORY_ID","CHS_EVENT_SMAS_SAMPLE_DATE","CHS_SITE_ID_CORR_YN","CHS_DATA_PROVIDER","CHS_SAMPLE_NAME","CHS_SAMPLE_MATRIX_CDE","CHS_DEC_SAMPLE_TYPE_CDE","CHS_LAB_SAMPLE_TYPE_CDE","CHS_SAMPLE_SOURCE","CHS_PARENT_SAMPLE_CDE","CHS_SAMPLE_DEL_GRP_EQUIS","CHS_SAMPLE_DATETIME","CHS_SAMPLE_RECEIPT_DATE","CHS_SYS_LOC_CDE","CHS_CHAIN_OF_CUSTODY","CHS_SAMPLER","CHS_SAMPLING_COMPANY_CODE","CHS_COMMENT","CHEM_PARAMETER_PCODE","CHEM_PARAMETER_NAME","CHEM_PARAMETER_UNIT","CHEM_PARAMETER_UNIT_NOSP","CHEM_PARAMETER_FRACTION","CHEM_PARAMETER_SOURCE","CHEM_PARAMETER_NOTES"
"228654",132,"12-MOHK-107.6-09042019-W","R1908645","","E200.8","09/18/2019 12:33:00","initial","WS",1,"E200.0","09/16/2019 00:00:00","ALSRNY","quant","R1908645-002",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.15,0.15,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","12-MOHK-107.6","09/04/2019","N","ALSRNY","12-MOHK-107.6-09042019-W","WS","N","N","Field","","","09/04/2019 11:30:00","09/06/2019","12-MOHK-107.6","","090419CO2W","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228655",132,"10-HALF_T1-0.1-07022019-W","R1906233","","E200.8","07/12/2019 12:29:00","initial","WS",1,"E200.0","07/10/2019 00:00:00","ALSRNY","quant","R1906233-005",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.15,0.15,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-HALF_T1-0.1","07/02/2019","N","ALSRNY","10-HALF_T1-0.1-07022019-W","WS","N","N","Field","","","07/02/2019 11:30:00","07/03/2019","10-HALF_T1-0.1","","070119CO1W","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228660",132,"07-KEUK_T3-1.0-08012018-WS","R1807213","","E200.8","08/13/2018 15:29:00","initial","WS",1,"E200.0","08/10/2018 00:00:00","ALSRNY","quant","R1807213-012",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.039,0.039,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","07-KEUK_T3-1.0","08/01/2018","N","ALSRNY","07-KEUK_T3-1.0-08012018-WS","WS","N","N","Field","","","08/01/2018 14:30:00","08/02/2018","Unknown","","","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228662",132,"17-PACH-0.4-09122018-WS","R1808736","","E200.8","09/20/2018 16:23:00","initial","WS",1,"E200.0","09/18/2018 00:00:00","ALSRNY","quant","R1808736-008",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.039,0.039,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","17-PACH-0.4","09/12/2018","N","ALSRNY","17-PACH-0.4-09122018-WS","WS","N","N","Field","","","09/12/2018 09:45:00","09/13/2018","Unknown","","","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228663",132,"13-GUNK-40.3-081618-WS","R1807890","","E200.8","09/05/2018 16:09:00","initial","WS",1,"E200.0","08/27/2018 00:00:00","ALSRNY","quant","R1807890-003",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.039,0.039,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","13-GUNK-40.3","08/16/2018","N","ALSRNY","13-GUNK-40.3-081618-WS","WS","N","N","Field","","","08/16/2018 08:58:00","08/17/2018","Unknown","","","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228667",132,"05-CDEA-1.8-10212019-WS","R1910307","","E200.8","10/31/2019 13:04:00","initial","WS",1,"E200.0","10/28/2019 00:00:00","ALSRNY","quant","R1910307-009",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.15,0.15,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","05-CDEA-1.8","10/21/2019","N","ALSRNY","05-CDEA-1.8-10212019-WS","WS","N","N","Field","","","10/21/2019 11:00:00","10/22/2019","05-CDEA-1.8","","102119R8W","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228671",132,"03-NRUP-3.1-10212019-WS","R1910307","","E200.8","10/31/2019 12:59:00","initial","WS",1,"E200.0","10/28/2019 00:00:00","ALSRNY","quant","R1910307-003",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.15,0.15,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","03-NRUP-3.1","10/21/2019","N","ALSRNY","03-NRUP-3.1-10212019-WS","WS","N","N","Field","","","10/21/2019 00:00:00","10/21/2019","03-NRUP-3.1","","102119R8W","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228674",132,"10-LGEO_T62-0.2-07192018-WS","R1806839","","E200.8","07/24/2018 15:03:00","initial","WS",1,"E200.0","07/23/2018 00:00:00","ALSRNY","quant","R1806839-001",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.039,0.039,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-LGEO_T62-0.2","07/19/2018","N","ALSRNY","10-LGEO_T62-0.2-07192018-WS","WS","N","N","Field","","","07/19/2018 09:00:00","07/20/2018","unknown","","","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228677",132,"06-NVUS-0.9-08092018-WS","R1807623","","E200.8","08/14/2018 20:15:00","initial","WS",1,"E200.0","08/13/2018 00:00:00","ALSRNY","quant","R1807623-003",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.039,0.039,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","06-NVUS-0.9","08/09/2018","N","ALSRNY","06-NVUS-0.9-08092018-WS","WS","N","N","Field","","","08/09/2018 11:00:00","08/10/2018","Unknown","","","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228678",132,"14-MONG_M-0.3-08202019-W","R1907960","","E200.8","09/04/2019 13:26:00","initial","WS",1,"E200.0","09/03/2019 00:00:00","ALSRNY","quant","R1907960-007",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",0.15,0.15,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-MONG_M-0.3","08/20/2019","N","ALSRNY","14-MONG_M-0.3-08202019-W","WS","N","N","Field","","","08/20/2019 16:15:00","08/21/2019","14-MONG_M-0.3","","081919CO3W","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228680",132,"10-BOQT-2.6-08122019-WS","R1907629","","E200.8","08/22/2019 12:39:00","initial","WS",1,"E200.0","08/20/2019 00:00:00","ALSRNY","quant","R1907629-003",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.15,0.15,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-BOQT-2.6","08/12/2019","N","ALSRNY","10-BOQT-2.6-08122019-WS","WS","N","N","Field","","","08/12/2019 11:00:00","08/13/2019","10-BOQT-2.6","","081219R5W","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228685",132,"08-BLCK-84.5-06122019-WS","R1905328","","E200.8","06/24/2019 11:27:00","initial","WS",1,"E200.0","06/18/2019 00:00:00","ALSRNY","quant","R1905328-007",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.15,0.15,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","08-BLCK-84.5","06/12/2019","N","ALSRNY","08-BLCK-84.5-06122019-WS","WS","N","N","Field","","","06/12/2019 09:00:00","06/13/2019","08-BLCK-84.5","","061019R6W","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228687",132,"13-BRCH-2.7-07302019-W","R1907170","","E200.8","08/05/2019 18:15:00","initial","WS",1,"E200.0","08/02/2019 00:00:00","ALSRNY","quant","R1907170-002",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.15,0.15,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","13-BRCH-2.7","07/30/2019","N","ALSRNY","13-BRCH-2.7-07302019-W","WS","N","N","Field","","","07/30/2019 10:45:00","07/31/2019","13-BRCH-2.7","","072919CO1W","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228704",132,"13-WKLEI-0.6-10032018-W","R1809618","","E200.8","10/16/2018 16:55:00","initial","WS",1,"E200.0","10/12/2018 00:00:00","ALSRNY","quant","R1809618-004",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.039,0.039,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","13-WKLEI-0.6","10/03/2018","N","ALSRNY","13-WKLEI-0.6-10032018-W","WS","N","N","Field","","","10/03/2018 11:00:00","10/04/2018","Unknown","","","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228705",132,"14-MONG_W-0.2-08202019-W","R1907962","","E200.8","09/03/2019 12:52:00","initial","WS",1,"E200.0","08/30/2019 00:00:00","ALSRNY","quant","R1907962-008",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",0.15,0.15,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-MONG_W-0.2","08/20/2019","N","ALSRNY","14-MONG_W-0.2-08202019-W","WS","N","N","Field","","","08/20/2019 16:30:00","08/21/2019","14-MONG_W-0.2","","081919CO1W","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228711",132,"13-LHUD-125.8-06112019-WS","R1905326","","E200.8","06/20/2019 14:54:00","initial","WS",1,"E200.0","06/18/2019 00:00:00","ALSRNY","quant","R1905326-005",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.15,0.15,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","13-LHUD-125.8","06/11/2019","N","ALSRNY","13-LHUD-125.8-06112019-WS","WS","N","N","Field","","","06/11/2019 11:00:00","06/12/2019","13-LHUD-125.8","","061019R4W","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228716",132,"13-MASO-0.2-10042018-W","R1809618","","E200.8","10/16/2018 17:13:00","initial","WS",1,"E200.0","10/12/2018 00:00:00","ALSRNY","quant","R1809618-012",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.039,0.039,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","13-MASO-0.2","10/04/2018","N","ALSRNY","13-MASO-0.2-10042018-W","WS","N","N","Field","","","10/04/2018 08:45:00","10/05/2018","Unknown","","","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228719",132,"09-TURN-1.5-09112019-W","R1908759","","E200.8","09/24/2019 09:25:00","initial","WS",1,"E200.0","09/16/2019 00:00:00","ALSRNY","quant","R1908759-007",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.15,0.15,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-TURN-1.5","09/11/2019","N","ALSRNY","09-TURN-1.5-09112019-W","WS","N","N","Field","","","09/11/2019 13:30:00","09/12/2019","09-TURN-1.5","","090919C01W","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228721",132,"13-DWAR-2.0-08142019-W","R1907828","","E200.8","08/27/2019 12:59:00","initial","WS",1,"E200.0","08/21/2019 00:00:00","ALSRNY","quant","R1907828-006",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",0.15,0.15,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","13-DWAR-2.0","08/14/2019","N","ALSRNY","13-DWAR-2.0-08142019-W","WS","N","N","Field","","","08/14/2019 13:20:00","08/15/2019","13-DWAR-2.0","","081219C03W","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228723",132,"17-BRNX-5.6-06122019-WS","R1905492","","E200.8","06/24/2019 11:47:00","initial","WS",1,"E200.0","06/18/2019 00:00:00","ALSRNY","quant","R1905492-001",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.15,0.15,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","17-BRNX-5.6","06/12/2019","N","ALSRNY","17-BRNX-5.6-06122019-WS","WS","N","N","Field","","","06/12/2019 11:00:00","06/13/2019","17-BRNX-5.6","","061019R2W","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228725",132,"10-HALF-0.2-09052019-W","R1908632","","E200.8","09/18/2019 12:11:00","initial","WS",1,"E200.0","09/16/2019 00:00:00","ALSRNY","quant","R1908632-002",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.15,0.15,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-HALF-0.2","09/05/2019","N","ALSRNY","10-HALF-0.2-09052019-W","WS","N","N","Field","","","09/05/2019 09:45:00","09/06/2019","10-HALF-0.2","","090219CO1W","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228727",132,"10-BOQT-2.6-06112019-WS","R1905398","","E200.8","06/20/2019 15:05:00","initial","WS",1,"E200.0","06/18/2019 00:00:00","ALSRNY","quant","R1905398-003",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.15,0.15,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-BOQT-2.6","06/11/2019","N","ALSRNY","10-BOQT-2.6-06112019-WS","WS","N","N","Field","","","06/11/2019 11:00:00","06/12/2019","10-BOQT-2.6","","061019R5W","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228734",132,"5-KJSTP-001-10022018-WS","R1809466","","E200.8","10/09/2018 17:19:00","initial","WS",1,"E200.0","10/08/2018 00:00:00","ALSRNY","quant","R1809466-023",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.039,0.039,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","15-KJSTP-001","10/02/2018","Y","ALSRNY","5-KJSTP-001-10022018-WS","WS","N","N","Field","","","10/02/2018 12:00:00","10/03/2018","Unknown","","","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228739",132,"15-RAMA-16.7-07312018-WS","R1807214","","E200.8","08/10/2018 16:54:00","initial","WS",1,"E200.0","08/08/2018 00:00:00","ALSRNY","quant","R1807214-013",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.039,0.039,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","15-RAMA-16.7","07/31/2018","N","ALSRNY","15-RAMA-16.7-07312018-WS","WS","N","N","Field","","","07/31/2018 16:30:00","08/01/2018","Unknown","","","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228740",132,"13-QKER-0.9-07112018-W","R1806428","","E200.8","07/17/2018 16:29:00","initial","WS",1,"E200.0","07/16/2018 00:00:00","ALSRNY","quant","R1806428-008",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.039,0.039,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","13-QKER-0.9","07/11/2018","N","ALSRNY","13-QKER-0.9-07112018-W","WS","N","N","Field","","","07/11/2018 11:30:00","07/12/2018","Unknown","","","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228741",132,"09-WHIK-0.8-09112019-W","R1908759","","E200.8","09/20/2019 16:35:00","initial","WS",1,"E200.0","09/16/2019 00:00:00","ALSRNY","quant","R1908759-013",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.15,0.15,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-WHIK-0.8","09/11/2019","N","ALSRNY","09-WHIK-0.8-09112019-W","WS","N","N","Field","","","09/11/2019 10:50:00","09/12/2019","09-WHIK-0.8","","090919C01W","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228743",132,"12-MOHK-79.5-08122019-WS","R1907631","","E200.8","08/22/2019 11:43:00","initial","WS",1,"E200.0","08/20/2019 00:00:00","ALSRNY","quant","R1907631-003",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.15,0.15,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","12-MOHK-79.5","08/12/2019","N","ALSRNY","12-MOHK-79.5-08122019-WS","WS","N","N","Field","","","08/12/2019 12:00:00","08/13/2019","12-MOHK-79.5","","081219R6W","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228744",132,"06-USSQ-154.7-08072018-WS","R1807461","","E200.8","08/17/2018 20:52:00","initial","WS",1,"E200.0","08/16/2018 00:00:00","ALSRNY","quant","R1807461-006",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.039,0.039,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","06-USSQ-154.7","08/07/2018","N","ALSRNY","06-USSQ-154.7-08072018-WS","WS","N","N","Field","","","08/07/2018 09:30:00","08/08/2018","Unknown","","","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228747",132,"04-UGNS-132-072519-W","R1907037","","E200.8","08/05/2019 19:45:00","initial","WS",1,"E200.0","07/31/2019 00:00:00","ALSRNY","quant","R1907037-005",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.15,0.15,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","04-UGNS-132.0","07/25/2019","Y","ALSRNY","04-UGNS-132-072519-W","WS","N","N","Field","","","07/25/2019 08:30:00","07/26/2019","04-UGNS-132","","072219CO2W","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228749",132,"13-RUTG-1.5-07242018-WS","R1806961","","E200.8","08/06/2018 19:23:00","initial","WS",1,"E200.0","08/01/2018 00:00:00","ALSRNY","quant","R1806961-007",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.039,0.039,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","13-RUTG-1.5","07/24/2018","N","ALSRNY","13-RUTG-1.5-07242018-WS","WS","N","N","Field","","","07/24/2018 14:45:00","07/25/2018","Unknown","","","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228753",132,"15-RAMA_T25_3-0.3-08012018-WS","R1807361","","E200.8","08/13/2018 15:40:00","initial","WS",1,"E200.0","08/10/2018 00:00:00","ALSRNY","quant","R1807361-007",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.039,0.039,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","15-RAMA_T25_3-0.3","08/01/2018","N","ALSRNY","15-RAMA_T25_3-0.3-08012018-WS","WS","N","N","Field","","","08/01/2018 12:00:00","08/03/2018","unknown","","","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228756",132,"05-COHO-7.4-08232018-W","R1808042","","E200.8","09/11/2018 18:13:00","initial","WS",1,"E200.0","09/04/2018 00:00:00","ALSRNY","quant","R1808042-012",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.039,0.039,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","05-COHO-7.4","08/23/2018","N","ALSRNY","05-COHO-7.4-08232018-W","WS","N","N","Field","","","08/23/2018 13:33:00","08/24/2018","Unknown","","","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228757",132,"09-LSAL-3.1-09112019-W","R1908761","","E200.8","09/26/2019 11:50:00","initial","WS",1,"E200.0","09/18/2019 00:00:00","ALSRNY","quant","R1908761-011",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.15,0.15,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-LSAL-3.1","09/11/2019","N","ALSRNY","09-LSAL-3.1-09112019-W","WS","N","N","Field","","","09/11/2019 08:45:00","09/12/2019","09-LSAL-3.1","","090919C03W","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228768",132,"14-NEVR-8.9-10152018-WS","R1809999","","E200.8","10/25/2018 11:33:00","initial","WS",1,"E200.0","10/24/2018 00:00:00","ALSRNY","quant","R1809999-003",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.039,0.039,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-NEVR-8.9","10/15/2018","N","ALSRNY","14-NEVR-8.9-10152018-WS","WS","N","N","Field","","","10/15/2018 12:10:00","10/16/2018","Unknown","","","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228770",132,"13-ROND-9.9-04182018-WS","R1803554","","E200.8","04/29/2018 18:51:00","initial","WS",1,"E200.0","04/26/2018 00:00:00","ALSRNY","quant","R1803554-001",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.039,0.039,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","13-ROND-9.9","04/18/2018","N","ALSRNY","13-ROND-9.9-04182018-WS","WS","N","N","Field","","","04/18/2018 00:00:00","04/19/2018","Unknown","","","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
"228772",132,"14-WDEL-16.2-08142019-WS","R1907616","","E200.8","08/27/2019 11:32:00","initial","WS",1,"E200.0","08/21/2019 00:00:00","ALSRNY","quant","R1907616-007",10,"mL",10,"mL","7440-22-4",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.15,0.15,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-WDEL-16.2","08/14/2019","N","ALSRNY","14-WDEL-16.2-08142019-WS","WS","N","N","Field","","","08/14/2019 11:00:00","08/15/2019","14-WDEL-16.2","","081219R4W","NYSDEC","",132,"SILVER","µg/L","ug/L","TOTAL","LAB",""
